"test.id","bottle.id","substrate","ISR","vol.bot","vol.hs","m.inoc","m.sub","m.inoc.vs","m.sub.vs"
101,635,"BK",NA,NA,NA,430,NA,7.5977,NA
101,636,"BK",NA,NA,NA,430,NA,7.5977,NA
101,637,"BK",NA,NA,NA,430,NA,7.5977,NA
101,638,"CEL",2.1407,NA,NA,430,3.74,7.5977,3.5493
101,639,"CEL",2.1408,NA,NA,430,3.7398,7.5977,3.5491
101,640,"CEL",2.1391,NA,NA,430,3.7428,7.5977,3.5519
101,641,"SA",1.9273,NA,NA,430,4.7727,7.5977,3.9423
101,642,"SA",1.9258,NA,NA,430,4.7762,7.5977,3.9451
101,643,"SA",1.9254,NA,NA,430,4.7774,7.5977,3.9461
101,644,"SB",2.0595,NA,NA,430,4.2747,7.5977,3.6891
101,645,"SB",2.0605,NA,NA,430,4.2726,7.5977,3.6873
101,646,"SB",2.0613,NA,NA,430,4.2711,7.5977,3.686
101,647,"SC",3.9309,NA,NA,450,2.5003,7.9511,2.0227
101,648,"SC",3.9263,NA,NA,450,2.5032,7.9511,2.0251
101,649,"SC",3.9214,NA,NA,450,2.5063,7.9511,2.0276
102,712,"BK",NA,NA,NA,1908.8,NA,34.672,NA
102,713,"BK",NA,NA,NA,1905.3,NA,34.609,NA
102,714,"BK",NA,NA,NA,1907.5,NA,34.65,NA
102,715,"CEL",2.0139,NA,NA,1904.4,18.1,34.593,17.177
102,716,"CEL",2.0006,NA,NA,1905.4,18.23,34.611,17.3
102,717,"CEL",1.997,NA,NA,1900.9,18.22,34.53,17.291
102,718,"SA",2.0194,NA,NA,1905.4,20.75,34.611,17.14
102,719,"SA",2.0286,NA,NA,1911.3,20.72,34.718,17.115
102,720,"SA",2.0134,NA,NA,1899.7,20.75,34.509,17.14
102,721,"SB",1.9971,NA,NA,1903.3,20.06,34.574,17.312
102,722,"SB",1.9925,NA,NA,1907.4,20.15,34.648,17.389
102,723,"SB",1.9961,NA,NA,1902.4,20.06,34.556,17.312
102,724,"SC",2.0049,NA,NA,1905.5,21.34,34.613,17.264
102,725,"SC",1.9991,NA,NA,1902.6,21.37,34.561,17.288
102,726,"SC",1.9971,NA,NA,1906.9,21.44,34.639,17.345
103,73,"SA",2.0286,NA,NA,80,0.7591,1.272,0.62702
103,74,"SA",2.0138,NA,NA,80,0.7647,1.272,0.63164
103,75,"SA",2.0238,NA,NA,80.02,0.7611,1.2723,0.62867
103,76,"SB",1.9853,NA,NA,80.02,0.7426,1.2723,0.64086
103,77,"SB",1.9728,NA,NA,80.02,0.7473,1.2723,0.64492
103,78,"SB",1.9882,NA,NA,80.03,0.7416,1.2725,0.64
103,79,"BK",NA,NA,NA,119.97,NA,1.9075,NA
103,80,"BK",NA,NA,NA,120.05,NA,1.9088,NA
103,81,"BK",NA,NA,NA,120.03,NA,1.9085,NA
103,82,"SC",4.055,NA,NA,79.99,0.3877,1.2718,0.31365
103,83,"SC",3.9876,NA,NA,80,0.3943,1.272,0.31899
103,84,"SC",3.962,NA,NA,79.98,0.39675,1.2717,0.32097
103,85,"SC",4.0059,NA,NA,80.02,0.3926,1.2723,0.31761
103,86,"CEL",1.9929,NA,NA,79.98,0.6724,1.2717,0.63811
103,87,"CEL",1.9956,NA,NA,79.97,0.6714,1.2715,0.63716
103,88,"CEL",2.003,NA,NA,80.04,0.6695,1.2726,0.63536
104,533,"BK",NA,NA,NA,159.4,NA,11.306,NA
104,534,"BK",NA,NA,NA,159.45,NA,11.309,NA
104,535,"BK",NA,NA,NA,159.4,NA,11.306,NA
104,536,"CEL",11.278,NA,NA,159.42,1.0564,11.307,1.0025
104,537,"CEL",11.283,NA,NA,159.42,1.056,11.307,1.0021
104,538,"CEL",11.283,NA,NA,159.42,1.056,11.307,1.0021
104,539,"SA",2.1261,NA,NA,159.41,6.438,11.306,5.3178
104,540,"SA",2.1256,NA,NA,159.42,6.44,11.307,5.3194
104,541,"SA",2.1254,NA,NA,159.43,6.441,11.308,5.3203
104,542,"SB",2.1213,NA,NA,159.44,6.177,11.308,5.3308
104,543,"SB",2.1223,NA,NA,159.41,6.173,11.306,5.3273
104,544,"SB",2.1212,NA,NA,159.43,6.177,11.308,5.3308
104,545,"SC",4.2757,NA,NA,159.43,3.269,11.308,2.6446
104,546,"SC",4.2624,NA,NA,159.42,3.279,11.307,2.6527
104,547,"SC",4.2663,NA,NA,159.42,3.276,11.307,2.6503
105,156,"BK",NA,NA,NA,158.12,NA,10.394,NA
105,157,"BK",NA,NA,NA,158.26,NA,10.403,NA
105,158,"BK",NA,NA,NA,158.21,NA,10.4,NA
105,159,"CEL",10.376,NA,NA,158.21,1.0561,10.4,1.0022
105,160,"CEL",10.377,NA,NA,158.21,1.056,10.4,1.0021
105,161,"CEL",10.375,NA,NA,158.24,1.0564,10.402,1.0025
105,162,"SA",2.112,NA,NA,158.28,5.964,10.404,4.9263
105,163,"SA",2.1131,NA,NA,158.28,5.9608,10.404,4.9236
105,164,"SA",2.1127,NA,NA,158.26,5.9613,10.403,4.924
105,165,"SB",2.1074,NA,NA,158.24,5.7193,10.402,4.9358
105,166,"SB",2.1072,NA,NA,158.3,5.722,10.406,4.9381
105,167,"SB",2.1069,NA,NA,158.25,5.721,10.402,4.9372
105,168,"SC",4.2364,NA,NA,158.25,3.0352,10.402,2.4555
105,169,"SC",4.2391,NA,NA,158.29,3.034,10.405,2.4545
105,170,"SC",4.2343,NA,NA,158.23,3.0363,10.401,2.4564
106,563,"BK",NA,NA,NA,403.69,NA,10.657,NA
106,564,"BK",NA,NA,NA,407.99,NA,10.771,NA
106,565,"BK",NA,NA,NA,411.08,NA,10.852,NA
106,566,"CEL",2.0927,NA,NA,400.22,5.32,10.566,5.0487
106,567,"CEL",2.1612,NA,NA,413.31,5.32,10.911,5.0487
106,568,"CEL",2.1215,NA,NA,406.48,5.33,10.731,5.0582
106,569,"SA",2.1425,NA,NA,407.57,6.08,10.76,5.0221
106,570,"SA",2.1604,NA,NA,411.66,6.09,10.868,5.0303
106,571,"SA",2.1324,NA,NA,406.33,6.09,10.727,5.0303
106,572,"SB",2.2338,NA,NA,423.53,5.8,11.181,5.0054
106,573,"SB",2.1344,NA,NA,404.68,5.8,10.683,5.0054
106,574,"SB",2.1375,NA,NA,405.27,5.8,10.699,5.0054
107,650,"SA",1.7423,NA,837.2,281.87,3.89,5.5983,3.2131
107,651,"SA",1.8635,NA,823.1,296.05,3.82,5.8799,3.1553
107,652,"SA",2.0442,NA,822.8,296.7,3.49,5.8928,2.8827
107,653,"SB",1.762,NA,817.4,301.66,3.94,5.9913,3.4002
107,654,"SB",2.0353,NA,809.1,310.41,3.51,6.1651,3.0291
107,655,"SB",2.0162,NA,817.3,302.25,3.45,6.003,2.9774
107,656,"SC",3.5635,NA,623.2,496.42,3.42,9.8595,2.7668
107,657,"SC",3.2745,NA,639.2,480.16,3.6,9.5365,2.9124
107,658,"SC",4.0249,NA,613.3,506.59,3.09,10.061,2.4998
107,659,"SC",2.1256,NA,715.8,402.6,4.65,7.9961,3.7618
107,660,"SC",1.9153,NA,803.8,315.18,4.04,6.2598,3.2684
107,661,"SC",2.0269,NA,814.7,304.65,3.69,6.0507,2.9852
107,662,"BK",NA,NA,703.7,419.34,NA,8.3286,NA
107,663,"BK",NA,NA,673.9,449.12,NA,8.92,NA
107,664,"BK",NA,NA,675.6,447.4,NA,8.8859,NA
107,665,"CEL",3.9837,NA,824.5,296.94,1.56,5.8976,1.4804
107,666,"CEL",4.5555,NA,810.3,311.27,1.43,6.1822,1.3571
107,667,"CEL",3.8541,NA,799,322.27,1.75,6.4007,1.6608
108,323,"BK",NA,NA,NA,1903.8,NA,33.543,NA
108,324,"BK",NA,NA,NA,1900.9,NA,33.492,NA
108,325,"BK",NA,NA,NA,1901,NA,33.494,NA
108,326,"CEL",2.003,NA,NA,1900.9,17.62,33.492,16.721
108,327,"CEL",1.9978,NA,NA,1900.3,17.66,33.482,16.759
108,328,"CEL",1.9999,NA,NA,1900.2,17.64,33.479,16.74
108,329,"SA",1.9923,NA,NA,1902.6,20.37,33.522,16.826
108,330,"SA",1.9932,NA,NA,1900.6,20.34,33.488,16.801
108,331,"SA",1.9932,NA,NA,1900.6,20.34,33.487,16.801
108,332,"SB",1.9926,NA,NA,1900.3,19.47,33.481,16.803
108,333,"SB",1.9935,NA,NA,1902.1,19.48,33.513,16.811
108,334,"SB",1.9904,NA,NA,1901.1,19.5,33.495,16.828
108,335,"SC",3.9866,NA,NA,1900.1,10.38,33.477,8.3974
108,336,"SC",3.9905,NA,NA,1900.1,10.37,33.478,8.3893
108,337,"SC",3.9573,NA,NA,1900.6,10.46,33.488,8.4621
109,198,"BK",Inf,NA,NA,450.06,0,8.8032,0
109,199,"BK",Inf,NA,NA,451.09,0,8.8234,0
109,200,"BK",Inf,NA,NA,450.33,0,8.8085,0
109,201,"CEL",1.9739,NA,NA,445.33,4.65,8.7107,4.4128
109,202,"CEL",1.9919,NA,NA,445.52,4.61,8.7144,4.3749
109,203,"CEL",1.982,NA,NA,445.23,4.63,8.7087,4.3939
109,204,"SA",1.9066,NA,NA,444.44,5.52,8.6933,4.5595
109,205,"SA",1.9065,NA,NA,444.42,5.52,8.6929,4.5595
109,206,"SA",1.8967,NA,NA,444.52,5.55,8.6948,4.5843
109,207,"SB",1.9767,NA,NA,444.79,5.1,8.7001,4.4013
109,208,"SB",1.9654,NA,NA,444.84,5.13,8.7011,4.4272
109,209,"SB",1.9732,NA,NA,444.88,5.11,8.7019,4.4099
109,210,"SC",1.9548,NA,NA,444.67,5.5,8.6978,4.4495
109,211,"SC",1.9827,NA,NA,444.47,5.42,8.6939,4.3848
109,212,"SC",1.9644,NA,NA,444.42,5.47,8.6929,4.4252
110,473,"SA",2.2691,NA,NA,80,0.749,1.4038,0.61867
110,474,"SA",2.2747,NA,NA,80.09,0.748,1.4054,0.61785
110,475,"SA",2.2618,NA,NA,80.04,0.7518,1.4045,0.62099
110,476,"SB",2.1956,NA,NA,80.11,0.7419,1.4058,0.64026
110,477,"SB",2.1972,NA,NA,80.07,0.741,1.4051,0.63948
110,478,"SB",2.194,NA,NA,80.05,0.7419,1.4047,0.64026
110,479,"BK",NA,NA,NA,100.04,NA,1.7555,NA
110,480,"BK",NA,NA,NA,100,NA,1.7548,NA
110,481,"BK",NA,NA,NA,100.02,NA,1.7552,NA
110,482,"SC",4.5462,NA,NA,80,0.3817,1.4038,0.3088
110,483,"SC",4.5391,NA,NA,80,0.3823,1.4038,0.30928
110,484,"SC",4.5688,NA,NA,80.04,0.38,1.4045,0.30742
110,485,"CEL",2.2191,NA,NA,80.01,0.6667,1.404,0.6327
110,486,"CEL",2.2097,NA,NA,80.04,0.6698,1.4045,0.63564
110,487,"CEL",2.2028,NA,NA,80.03,0.6718,1.4044,0.63754
111,488,"BK",NA,NA,NA,449.46,NA,6.7063,NA
111,489,"BK",NA,NA,NA,449.37,NA,6.705,NA
111,490,"BK",NA,NA,NA,449.69,NA,6.7098,NA
111,491,"CEL",1.9828,NA,NA,447.69,3.55,6.6799,3.369
111,492,"CEL",2.0293,NA,NA,447.86,3.47,6.6825,3.293
111,493,"CEL",2.0234,NA,NA,451.72,3.51,6.7401,3.331
111,494,"SA",1.9131,NA,NA,446.92,4.22,6.6684,3.4857
111,495,"SA",2.0414,NA,NA,447.52,3.96,6.6774,3.271
111,496,"SA",1.9798,NA,NA,446.07,4.07,6.6558,3.3618
111,497,"SB",2.0541,NA,NA,446.71,3.76,6.6653,3.2449
111,498,"SB",2.0657,NA,NA,448.04,3.75,6.6851,3.2362
111,499,"SB",2.1233,NA,NA,451.93,3.68,6.7432,3.1758
111,500,"SC",4.086,NA,NA,449.73,2.03,6.7104,1.6423
111,501,"SC",4.1101,NA,NA,447.92,2.01,6.6834,1.6261
111,502,"SC",4.0943,NA,NA,448.42,2.02,6.6908,1.6342
112,251,"BK",NA,NA,NA,430,NA,6.7473,NA
112,252,"BK",NA,NA,NA,430,NA,6.7473,NA
112,253,"BK",NA,NA,NA,430,NA,6.7473,NA
112,254,"CEL",2.036,NA,NA,430,3.4921,6.7473,3.314
112,255,"CEL",2.0351,NA,NA,430,3.4937,6.7473,3.3155
112,256,"CEL",2.036,NA,NA,430,3.4921,6.7473,3.314
112,257,"SA",1.833,NA,NA,430,4.4563,6.7473,3.6809
112,258,"SA",1.8296,NA,NA,430,4.4647,6.7473,3.6878
112,259,"SA",1.8276,NA,NA,430,4.4696,6.7473,3.6919
112,260,"SB",1.963,NA,NA,430,3.9829,6.7473,3.4372
112,261,"SB",1.9619,NA,NA,430,3.9852,6.7473,3.4392
112,262,"SB",1.9559,NA,NA,430,3.9973,6.7473,3.4497
112,263,"SC",3.7274,NA,NA,450,2.3416,7.0611,1.8944
112,264,"SC",3.7255,NA,NA,450,2.3428,7.0611,1.8953
112,265,"SC",3.7216,NA,NA,450,2.3453,7.0611,1.8973
113,682,"BK",NA,NA,NA,450.42,NA,7.8925,NA
113,683,"BK",NA,NA,NA,449.97,NA,7.8846,NA
113,684,"BK",NA,NA,NA,450.03,NA,7.8856,NA
113,685,"CEL",1.9016,NA,NA,450.79,4.377,7.8989,4.1538
113,686,"CEL",1.9011,NA,NA,450.23,4.3728,7.8891,4.1498
113,687,"CEL",1.9032,NA,NA,450.87,4.3742,7.9003,4.1511
113,688,"SA",0.95912,NA,NA,450.54,9.9649,7.8946,8.231
113,689,"SA",0.95818,NA,NA,450.01,9.963,7.8853,8.2294
113,690,"SA",0.95833,NA,NA,450.35,9.969,7.8912,8.2344
113,691,"SA",1.9148,NA,NA,450.24,4.988,7.8893,4.1201
113,692,"SA",1.9153,NA,NA,450.24,4.9868,7.8893,4.1191
113,693,"SA",1.9131,NA,NA,449.8,4.9876,7.8816,4.1198
113,694,"SA",3.8211,NA,NA,450.31,2.5,7.8905,2.065
113,695,"SA",3.8407,NA,NA,450.97,2.4909,7.9021,2.0575
113,696,"SA",3.8242,NA,NA,450.23,2.4975,7.8891,2.0629
113,697,"SB",0.95514,NA,NA,450.09,9.5679,7.8867,8.2571
113,698,"SB",0.95562,NA,NA,450.42,9.5701,7.8925,8.259
113,699,"SB",0.95558,NA,NA,450.18,9.5654,7.8883,8.2549
113,700,"SB",1.9103,NA,NA,450.21,4.7852,7.8888,4.1296
113,701,"SB",1.9092,NA,NA,450.06,4.7863,7.8862,4.1306
113,702,"SB",1.9089,NA,NA,450.01,4.7866,7.8853,4.1308
113,703,"SB",3.8265,NA,NA,450.79,2.392,7.8989,2.0643
113,704,"SB",3.8207,NA,NA,450.32,2.3931,7.8907,2.0652
113,705,"SB",3.8255,NA,NA,450.58,2.3915,7.8953,2.0639
113,706,"SC",1.9125,NA,NA,450.53,5.1022,7.8944,4.1277
113,707,"SC",1.9123,NA,NA,450.45,5.102,7.893,4.1275
113,708,"SC",1.9096,NA,NA,450.91,5.1144,7.901,4.1375
113,709,"SC",3.8087,NA,NA,450.88,2.5641,7.9005,2.0744
113,710,"SC",3.8053,NA,NA,450.34,2.5633,7.8911,2.0737
113,711,"SC",3.7993,NA,NA,450.42,2.5678,7.8925,2.0774
114,428,"SA",1.9711,1115.6,710.14,400.15,4.46,7.2615,3.684
114,429,"SA",1.933,1119.4,717.31,396.82,4.51,7.2011,3.7253
114,430,"SA",1.7789,1119.5,715.36,398.38,4.92,7.2294,4.0639
114,431,"BK",Inf,1119,718.01,400.17,0,7.2619,0
114,432,"BK",Inf,1119.5,719.78,398.88,0,7.2385,0
114,433,"BK",Inf,1120.8,718.99,400.86,0,7.2744,0
114,434,"SB",2.0875,1120.5,716.51,399.07,4.02,7.2419,3.4693
114,435,"SB",2.0905,1118.8,715.33,398.65,4.01,7.2343,3.4606
114,436,"SB",2.0377,1122.3,719.11,398.27,4.11,7.2274,3.5469
114,437,"CEL",2.0589,1133.4,730.45,398.38,3.7,7.2294,3.5113
114,438,"CEL",2.0511,1120.8,717.29,399.01,3.72,7.2408,3.5303
114,439,"CEL",1.973,1118.3,713.95,399.31,3.87,7.2463,3.6726
114,440,"SC",3.0238,1128,726.57,397.66,2.95,7.2163,2.3866
114,441,"SC",3.0942,1122.5,718.78,400.03,2.9,7.2593,2.3461
114,442,"SC",3.0334,1119.5,719.59,396.22,2.93,7.1902,2.3704
115,16,"BK",Inf,NA,NA,450,0,7.428,0
115,17,"BK",Inf,NA,NA,450,0,7.428,0
115,18,"BK",Inf,NA,NA,450,0,7.428,0
115,19,"CEL",2.0316,NA,NA,446.18,3.82,7.3649,3.6252
115,20,"CEL",2.0316,NA,NA,446.18,3.82,7.3649,3.6252
115,21,"CEL",2.0316,NA,NA,446.18,3.82,7.3649,3.6252
115,22,"SA",1.9521,NA,NA,445.44,4.56,7.3527,3.7666
115,23,"SA",1.9521,NA,NA,445.44,4.56,7.3527,3.7666
115,24,"SA",1.9521,NA,NA,445.44,4.56,7.3527,3.7666
115,25,"SB",1.9595,NA,NA,445.65,4.35,7.3562,3.754
115,26,"SB",1.9595,NA,NA,445.65,4.35,7.3562,3.754
115,27,"SB",1.9595,NA,NA,445.65,4.35,7.3562,3.754
115,28,"SC",3.9202,NA,NA,447.67,2.33,7.3895,1.885
115,29,"SC",3.9202,NA,NA,447.67,2.33,7.3895,1.885
115,30,"SC",3.9202,NA,NA,447.67,2.33,7.3895,1.885
116,213,"BK",NA,NA,NA,133.93,NA,3.0938,NA
116,214,"SA",2.0812,NA,NA,135.44,1.82,3.1287,1.5033
116,215,"CEL",2.0067,NA,NA,135.2,1.64,3.1231,1.5564
116,216,"BK",NA,NA,NA,135.56,NA,3.1314,NA
116,217,"SA",2.0738,NA,NA,133.48,1.8,3.0834,1.4868
116,218,"BK",NA,NA,NA,136.68,NA,3.1573,NA
116,219,"SA",2.0345,NA,NA,133.86,1.84,3.0922,1.5198
116,220,"SB",2.1689,NA,NA,139.37,1.72,3.2194,1.4844
116,221,"SB",2.0902,NA,NA,135.09,1.73,3.1206,1.493
116,222,"SB",2.0628,NA,NA,133.32,1.73,3.0797,1.493
116,223,"CEL",2.178,NA,NA,140.48,1.57,3.2451,1.4899
116,224,"CEL",2.0548,NA,NA,133.38,1.58,3.0811,1.4994
117,293,"BK",NA,NA,NA,450.74,NA,7.9278,NA
117,294,"BK",NA,NA,NA,450.07,NA,7.916,NA
117,295,"BK",NA,NA,NA,450.23,NA,7.9188,NA
117,296,"CEL",1.7641,NA,NA,450.79,4.736,7.9287,4.4945
117,297,"CEL",1.7628,NA,NA,450.19,4.7333,7.9181,4.4919
117,298,"CEL",1.7626,NA,NA,449.98,4.7315,7.9144,4.4902
117,299,"SA",0.96276,NA,NA,450.47,9.9631,7.9231,8.2295
117,300,"SA",0.96296,NA,NA,450.89,9.9703,7.9304,8.2355
117,301,"SA",0.96398,NA,NA,450.92,9.9604,7.931,8.2273
117,302,"SA",1.9246,NA,NA,450.89,4.9886,7.9304,4.1206
117,303,"SA",1.9246,NA,NA,450.87,4.9884,7.9301,4.1204
117,304,"SA",1.9278,NA,NA,451.26,4.9845,7.9369,4.1172
117,305,"SA",3.8472,NA,NA,450.19,2.4917,7.9181,2.0581
117,306,"SA",3.8418,NA,NA,450.6,2.4975,7.9253,2.0629
117,307,"SA",3.8423,NA,NA,450.03,2.494,7.9153,2.06
117,308,"SB",0.95932,NA,NA,450.25,9.5655,7.9192,8.255
117,309,"SB",0.95951,NA,NA,450.5,9.5689,7.9236,8.258
117,310,"SB",0.96004,NA,NA,450.37,9.5608,7.9213,8.251
117,311,"SB",1.9181,NA,NA,450.03,4.7817,7.9153,4.1266
117,312,"SB",1.9182,NA,NA,450.53,4.7869,7.9241,4.1311
117,313,"SB",1.9175,NA,NA,450.25,4.7857,7.9192,4.1301
117,314,"SB",3.8453,NA,NA,450.8,2.3893,7.9289,2.062
117,315,"SB",3.8301,NA,NA,450.6,2.3977,7.9253,2.0692
117,316,"SB",3.8351,NA,NA,451.2,2.3978,7.9359,2.0693
117,317,"SC",1.9284,NA,NA,451.52,5.0904,7.9415,4.1181
117,318,"SC",1.921,NA,NA,449.93,5.092,7.9136,4.1194
117,319,"SC",1.9238,NA,NA,450.53,5.0915,7.9241,4.119
117,320,"SC",3.8176,NA,NA,450.33,2.5646,7.9206,2.0748
117,321,"SC",3.8396,NA,NA,450.29,2.5497,7.9199,2.0627
117,322,"SC",3.8302,NA,NA,450.18,2.5553,7.918,2.0672
118,89,"BK",NA,NA,NA,450.52,NA,5.9585,NA
118,90,"BK",NA,NA,NA,450.72,NA,5.9611,NA
118,91,"BK",NA,NA,NA,450.3,NA,5.9556,NA
118,92,"CEL",1.7674,NA,NA,442.59,3.49,5.8536,3.312
118,93,"CEL",1.7659,NA,NA,442.22,3.49,5.8487,3.312
118,94,"CEL",1.7429,NA,NA,442.71,3.54,5.8552,3.3595
118,95,"SA",1.8125,NA,NA,447.13,3.95,5.9137,3.2627
118,96,"SA",1.7809,NA,NA,446,4.01,5.8987,3.3123
118,97,"SA",1.828,NA,NA,446.39,3.91,5.9039,3.2297
118,98,"SB",1.8695,NA,NA,448.92,3.68,5.9373,3.1758
118,99,"SB",1.818,NA,NA,446.03,3.76,5.8991,3.2449
118,100,"SB",1.8519,NA,NA,447.1,3.7,5.9133,3.1931
118,101,"SC",3.6019,NA,NA,449.46,2.04,5.9445,1.6504
118,102,"SC",3.4905,NA,NA,448.37,2.1,5.9301,1.6989
118,103,"SC",3.6752,NA,NA,447.36,1.99,5.9167,1.6099
119,398,"BK",Inf,NA,NA,450,0,6.4215,0
119,399,"BK",Inf,NA,NA,450,0,6.4215,0
119,400,"BK",Inf,NA,NA,450,0,6.4215,0
119,401,"CEL",2.0231,NA,NA,446.68,3.32,6.3741,3.1507
119,402,"CEL",2.0231,NA,NA,446.68,3.32,6.3741,3.1507
119,403,"CEL",2.0231,NA,NA,446.68,3.32,6.3741,3.1507
119,404,"SA",2.0232,NA,NA,446.19,3.81,6.3671,3.1471
119,405,"SA",2.0232,NA,NA,446.19,3.81,6.3671,3.1471
119,406,"SA",2.0232,NA,NA,446.19,3.81,6.3671,3.1471
119,407,"SB",2.0333,NA,NA,446.37,3.63,6.3697,3.1327
119,408,"SB",2.0333,NA,NA,446.37,3.63,6.3697,3.1327
119,409,"SB",2.0333,NA,NA,446.37,3.63,6.3697,3.1327
119,410,"SC",4.0529,NA,NA,448.05,1.95,6.3937,1.5776
119,411,"SC",4.0529,NA,NA,448.05,1.95,6.3937,1.5776
119,412,"SC",4.0529,NA,NA,448.05,1.95,6.3937,1.5776
120,590,"BK",NA,NA,NA,133.2,NA,3.0236,NA
120,591,"SA",1.9931,NA,NA,134.17,1.85,3.0457,1.5281
120,592,"SA",2.0687,NA,NA,137,1.82,3.1099,1.5033
120,593,"SA",2.0072,NA,NA,132.2,1.81,3.0009,1.4951
120,594,"CEL",2.0112,NA,NA,132.85,1.58,3.0157,1.4994
120,595,"SB",1.9857,NA,NA,132.11,1.75,2.9989,1.5103
120,596,"SB",2.0219,NA,NA,132.21,1.72,3.0012,1.4844
120,597,"SB",2.0225,NA,NA,133.79,1.74,3.037,1.5016
120,598,"SC",4.0595,NA,NA,177.95,1.23,4.0395,0.99507
120,599,"SC",4.0093,NA,NA,177.18,1.24,4.022,1.0032
120,600,"SC",4.0175,NA,NA,177.54,1.24,4.0302,1.0032
120,601,"CEL",1.9894,NA,NA,132.24,1.59,3.0018,1.5089
120,602,"CEL",1.9761,NA,NA,132.18,1.6,3.0005,1.5184
120,603,"BK",NA,NA,NA,133.08,NA,3.0209,NA
120,604,"BK",NA,NA,NA,135.77,NA,3.082,NA
121,186,"BK",NA,NA,NA,401.4,NA,10.597,NA
121,187,"BK",NA,NA,NA,400.73,NA,10.579,NA
121,188,"BK",NA,NA,NA,403.21,NA,10.644,NA
121,189,"CEL",2.096,NA,NA,402.36,5.34,10.622,5.0677
